DesignName,ParticipantID,TrialID,Block1,Block2,OC,VV
pre-attentive perception,1,1,1,1,medium,Size
pre-attentive perception,1,2,1,2,medium,color
pre-attentive perception,1,3,1,3,medium,Color_Size
pre-attentive perception,1,4,1,4,medium,Size
pre-attentive perception,1,5,1,5,medium,color
pre-attentive perception,1,6,1,6,medium,Color_Size
pre-attentive perception,1,7,1,7,medium,Size
pre-attentive perception,1,8,1,8,medium,color
pre-attentive perception,1,9,1,9,medium,Color_Size
pre-attentive perception,1,10,2,1,low,Size
pre-attentive perception,1,11,2,2,low,color
pre-attentive perception,1,12,2,3,low,Color_Size
pre-attentive perception,1,13,2,4,low,Size
pre-attentive perception,1,14,2,5,low,color
pre-attentive perception,1,15,2,6,low,Color_Size
pre-attentive perception,1,16,2,7,low,Size
pre-attentive perception,1,17,2,8,low,color
pre-attentive perception,1,18,2,9,low,Color_Size
pre-attentive perception,1,19,3,1,high,Size
pre-attentive perception,1,20,3,2,high,color
pre-attentive perception,1,21,3,3,high,Color_Size
pre-attentive perception,1,22,3,4,high,Size
pre-attentive perception,1,23,3,5,high,color
pre-attentive perception,1,24,3,6,high,Color_Size
pre-attentive perception,1,25,3,7,high,Size
pre-attentive perception,1,26,3,8,high,color
pre-attentive perception,1,27,3,9,high,Color_Size
pre-attentive perception,2,28,1,1,high,Color_Size
pre-attentive perception,2,29,1,2,high,Size
pre-attentive perception,2,30,1,3,high,color
pre-attentive perception,2,31,1,4,high,Color_Size
pre-attentive perception,2,32,1,5,high,Size
pre-attentive perception,2,33,1,6,high,color
pre-attentive perception,2,34,1,7,high,Color_Size
pre-attentive perception,2,35,1,8,high,Size
pre-attentive perception,2,36,1,9,high,color
pre-attentive perception,2,37,2,1,medium,Color_Size
pre-attentive perception,2,38,2,2,medium,Size
pre-attentive perception,2,39,2,3,medium,color
pre-attentive perception,2,40,2,4,medium,Color_Size
pre-attentive perception,2,41,2,5,medium,Size
pre-attentive perception,2,42,2,6,medium,color
pre-attentive perception,2,43,2,7,medium,Color_Size
pre-attentive perception,2,44,2,8,medium,Size
pre-attentive perception,2,45,2,9,medium,color
pre-attentive perception,2,46,3,1,low,Color_Size
pre-attentive perception,2,47,3,2,low,Size
pre-attentive perception,2,48,3,3,low,color
pre-attentive perception,2,49,3,4,low,Color_Size
pre-attentive perception,2,50,3,5,low,Size
pre-attentive perception,2,51,3,6,low,color
pre-attentive perception,2,52,3,7,low,Color_Size
pre-attentive perception,2,53,3,8,low,Size
pre-attentive perception,2,54,3,9,low,color
pre-attentive perception,3,55,1,1,low,color
pre-attentive perception,3,56,1,2,low,Color_Size
pre-attentive perception,3,57,1,3,low,Size
pre-attentive perception,3,58,1,4,low,color
pre-attentive perception,3,59,1,5,low,Color_Size
pre-attentive perception,3,60,1,6,low,Size
pre-attentive perception,3,61,1,7,low,color
pre-attentive perception,3,62,1,8,low,Color_Size
pre-attentive perception,3,63,1,9,low,Size
pre-attentive perception,3,64,2,1,high,color
pre-attentive perception,3,65,2,2,high,Color_Size
pre-attentive perception,3,66,2,3,high,Size
pre-attentive perception,3,67,2,4,high,color
pre-attentive perception,3,68,2,5,high,Color_Size
pre-attentive perception,3,69,2,6,high,Size
pre-attentive perception,3,70,2,7,high,color
pre-attentive perception,3,71,2,8,high,Color_Size
pre-attentive perception,3,72,2,9,high,Size
pre-attentive perception,3,73,3,1,medium,color
pre-attentive perception,3,74,3,2,medium,Color_Size
pre-attentive perception,3,75,3,3,medium,Size
pre-attentive perception,3,76,3,4,medium,color
pre-attentive perception,3,77,3,5,medium,Color_Size
pre-attentive perception,3,78,3,6,medium,Size
pre-attentive perception,3,79,3,7,medium,color
pre-attentive perception,3,80,3,8,medium,Color_Size
pre-attentive perception,3,81,3,9,medium,Size
pre-attentive perception,4,82,1,1,medium,Size
pre-attentive perception,4,83,1,2,medium,color
pre-attentive perception,4,84,1,3,medium,Color_Size
pre-attentive perception,4,85,1,4,medium,Size
pre-attentive perception,4,86,1,5,medium,color
pre-attentive perception,4,87,1,6,medium,Color_Size
pre-attentive perception,4,88,1,7,medium,Size
pre-attentive perception,4,89,1,8,medium,color
pre-attentive perception,4,90,1,9,medium,Color_Size
pre-attentive perception,4,91,2,1,low,Size
pre-attentive perception,4,92,2,2,low,color
pre-attentive perception,4,93,2,3,low,Color_Size
pre-attentive perception,4,94,2,4,low,Size
pre-attentive perception,4,95,2,5,low,color
pre-attentive perception,4,96,2,6,low,Color_Size
pre-attentive perception,4,97,2,7,low,Size
pre-attentive perception,4,98,2,8,low,color
pre-attentive perception,4,99,2,9,low,Color_Size
pre-attentive perception,4,100,3,1,high,Size
pre-attentive perception,4,101,3,2,high,color
pre-attentive perception,4,102,3,3,high,Color_Size
pre-attentive perception,4,103,3,4,high,Size
pre-attentive perception,4,104,3,5,high,color
pre-attentive perception,4,105,3,6,high,Color_Size
pre-attentive perception,4,106,3,7,high,Size
pre-attentive perception,4,107,3,8,high,color
pre-attentive perception,4,108,3,9,high,Color_Size
pre-attentive perception,5,109,1,1,high,Color_Size
pre-attentive perception,5,110,1,2,high,Size
pre-attentive perception,5,111,1,3,high,color
pre-attentive perception,5,112,1,4,high,Color_Size
pre-attentive perception,5,113,1,5,high,Size
pre-attentive perception,5,114,1,6,high,color
pre-attentive perception,5,115,1,7,high,Color_Size
pre-attentive perception,5,116,1,8,high,Size
pre-attentive perception,5,117,1,9,high,color
pre-attentive perception,5,118,2,1,medium,Color_Size
pre-attentive perception,5,119,2,2,medium,Size
pre-attentive perception,5,120,2,3,medium,color
pre-attentive perception,5,121,2,4,medium,Color_Size
pre-attentive perception,5,122,2,5,medium,Size
pre-attentive perception,5,123,2,6,medium,color
pre-attentive perception,5,124,2,7,medium,Color_Size
pre-attentive perception,5,125,2,8,medium,Size
pre-attentive perception,5,126,2,9,medium,color
pre-attentive perception,5,127,3,1,low,Color_Size
pre-attentive perception,5,128,3,2,low,Size
pre-attentive perception,5,129,3,3,low,color
pre-attentive perception,5,130,3,4,low,Color_Size
pre-attentive perception,5,131,3,5,low,Size
pre-attentive perception,5,132,3,6,low,color
pre-attentive perception,5,133,3,7,low,Color_Size
pre-attentive perception,5,134,3,8,low,Size
pre-attentive perception,5,135,3,9,low,color
pre-attentive perception,6,136,1,1,low,color
pre-attentive perception,6,137,1,2,low,Color_Size
pre-attentive perception,6,138,1,3,low,Size
pre-attentive perception,6,139,1,4,low,color
pre-attentive perception,6,140,1,5,low,Color_Size
pre-attentive perception,6,141,1,6,low,Size
pre-attentive perception,6,142,1,7,low,color
pre-attentive perception,6,143,1,8,low,Color_Size
pre-attentive perception,6,144,1,9,low,Size
pre-attentive perception,6,145,2,1,high,color
pre-attentive perception,6,146,2,2,high,Color_Size
pre-attentive perception,6,147,2,3,high,Size
pre-attentive perception,6,148,2,4,high,color
pre-attentive perception,6,149,2,5,high,Color_Size
pre-attentive perception,6,150,2,6,high,Size
pre-attentive perception,6,151,2,7,high,color
pre-attentive perception,6,152,2,8,high,Color_Size
pre-attentive perception,6,153,2,9,high,Size
pre-attentive perception,6,154,3,1,medium,color
pre-attentive perception,6,155,3,2,medium,Color_Size
pre-attentive perception,6,156,3,3,medium,Size
pre-attentive perception,6,157,3,4,medium,color
pre-attentive perception,6,158,3,5,medium,Color_Size
pre-attentive perception,6,159,3,6,medium,Size
pre-attentive perception,6,160,3,7,medium,color
pre-attentive perception,6,161,3,8,medium,Color_Size
pre-attentive perception,6,162,3,9,medium,Size
